Title,Accession,Organism,Summary,Overall_design,PubmedID,Journal
Dynamic placement of the linker histone H1 regulates nucleosome arrangement and coordinates gene transcription in early Drosophila embryos[ChIP-Seq],GSE101327,Drosophila melanogaster,H1 ChIP-seq profiling and nucleosome MNase-seq profiling were performed in after egg laying (AEL)  3-4 hours (hr) and 14-15hr Drosophila melanogaster embryos (W1118).,Nucleosome and H1 maps were generated from AEL 3-4hr and 14-15hr D. melanogaster embryos. We determinated nucleosome occupancy in embryo by micrococcal nuclease sequencing (MNase-Seq). We also performed ChIP-Seq (chromatin immunoprecipitation and sequencing) for H1 genome wide profiles. Sequencing was performed on Illumina HiSeq 2000 using signle end protocol.,29988149,Cell Death Dis
Gene expression profile of DLBCL cells emerged in  Cg1-Cre Spi1 KO mice,GSE117631,Mus musculus,We performed RNA-seq analysis and compared the differences in gene expression between tumor cells from CÎ³1-Cre Spi1 KO mice and B cells from PU.1-loxP mice.,We performed RNA-seq analysis of tumor cells from CÎ³1-Cre Spi1 KO mice and B cells from PU.1-loxP mice. We analyzed DLBCL cells from three CÎ³1-Cre Spi1 KO mice and splenic B cells from two CÎ³1-Cre Spi1 KO mice with mild splenomegaly. We also analyzed B cells from spleen of two PU.1-loxP mice. B220+ cells were purified using B220 magnetic beads (Miltenyi Biotec) and RNAs were extracted using Trizol reagent (Thermo Fisher Scientific) and RNeasy Mini Kit (Qiagen). We next compared the differences in gene expression between tumor cells from CÎ³1-Cre Spi1 KO mice and those from Spi1-loxP mice.,39321027,Cancer Sci
Perivascular signals alter global genomic profile of glioblastoma and response to temozolomide in a gelatin hydrogel,GSE111231,Homo sapiens,Glioblastoma (GBM) is the most common primary malignant brain tumor， with patients exhibiting poor survival (median survival time: 15 months). Difficulties in treating GBM include not only the inability to resect the diffusively-invading tumor cells but also therapeutic resistance. The perivascular niche within the GBM tumor microenvironment contributes significantly to tumor cell invasion， cancer stem cell maintenance， and has been shown to protect tumor cells from radiation and chemotherapy. In this study， we describe the development of an in vitro artificial perivascular niche (PVN)， culturing endothelial and stromal cells along with GBM cells within a methacrylamide-functionalized gelatin hydrogel， in order to examine how the presence of the PVN alters global genomic expression profiles. Using RNA-seq， we demonstrate that the inclusion of perivascular niche cells with GBM cells upregulates genes related to angiogenesis and remodeling， while downregulated genes are related to cell cycle and DNA damage repair. Signaling pathways and genes commonly implicated in GBM malignancy， such as MGMT， EGFR， PI3K-Akt signaling， and Ras/MAPK signaling are also upregulated in the presence of perivascular niche cells. We describe the kinetics of gene expression within the PVN hydrogels over a course of 14 days， observing the patterns associated with previously-observed GBM-mediated endothelial network co-option and regression that are altered in the presence of covalently-bound hyaluronic acid. We finally examine the effect of PVN culture on GBM cell responsiveness to temozolomide， a frontline chemotherapy used clinically against GBM. Notably， the presence of a PVN leads to significantly increased TMZ resistance compared to hydrogels containing only GBM cells. Overall， these results demonstrate that inclusion of cellular and matrix-associated elements of the PVN within in vitro models of GBM provide critical signals to regulate the phenotype and therapeutic responsiveness of GBM cells.,Tri-Culture RNA samples were compared to Mixed Culture RNA samples. RNA for Tri-Culture groups was extracted from methacrylamide-functionalized gelatin (GelMA) hydrogels containing human umbilical vein endothelial cells (HUVECs)， normal human lung fibroblasts (NHLFs)， and U87-MG cells cultured together. For Mixed samples， RNA from GelMA hydrogels containing only U87-MG cells was mixed with RNA from GelMA hydrogels containing HUVECs and NHLFs cultured together， such that the fraction of RNA belonging to NHLFs was equivalent between Tri-Culture and Mixed samples. Three replicates were tested for both groups (Tri-Culture and Mixed).,29941152,Biomaterials
Time series of Methanococcus maripaludis MM901:del_MMP0719， a shift from a H2-excess and P-limiting condition to a H2-limited and P-excess condition in chemostats (growth rate held constant),GSE42159,Methanococcus maripaludis S2,Methanogens catalyze the critical， methane-producing step (called methanogenesis) in the anaerobic decomposition of organic matter and have applications in carbon-neutral fuel production. Here， we present the first predictive model of global gene regulation of methanogenesis in a hydrogenotrophic methanogen， Methanococcus maripaludis. We generated a comprehensive list of genes (protein-coding and non-coding) for M. maripaludis through integrated analysis of the transcriptome structure and a newly constructed Peptide Atlas. The environment and gene-regulatory influence network (EGRIN) model of the strain was constructed from a compendium of transcriptome data that was collected over 100 different steady-state and time course experiments that were performed in chemostats， or batch cultures， under a spectrum of environmental perturbations that modulated methanogenesis. We discovered that at least five regulatory mechanisms act in a combinatorial scheme to inter-coordinate key steps of methanogenesis with different processes such as motility， ATP biosynthesis， and carbon assimilation. Through a combination of genetic and environmental perturbation experiments we have validated the EGRIN-predicted role of two novel TFs in the regulation of phosphate-dependent repression of formate dehydorgenase â a key enzyme in the methanogenesis pathway.,The strain was grown by continuous culture in a one-liter fermenter (New Brunswick Scientific， Edison， NJ) at 37Â°C (FEMS Microbiol Lett 238: 85-91， 2004). Medium and gas compositions were modified from those for non-limiting conditions (BMC Microbiol 9: 149， 2009).   Growth conditions were carefully designed to separate the effects of different environmental factors. To ensure physico-chemical factors being constant， all cell cultures were performed using continuous cultivations with a constant dilution rate. The standard gassing regime was 110 mL/min H2， 40 mL/min CO2， 35 mL/min Ar， and 15 mL/min H2S/Ar mixture (1:99). For shifts from a H2 excess to a H2 limited condition， H2 was lowered from standard 110 mL/min to 21 mL/min and Ar was raised from standard 35 mL/min to 125 mL/min. For shifts from P-limited to P-excess conditions， phosphate was raised from 0.12 mM to the standard 0.8 mM. The dilution rate was held constant at 0.083 h-1. For time-series array data， cultures before perturbation were allowed to reach steady state. We rapidly changed concentration(s) of H2 and/or a nutrient， and sampled at intervals after the perturbation; right away， after 5 mins， 10， 20， 30， 45， 60， 90， 120， 180， and 300 mins. Culture samples (1.5 mL) were rapidly removed from the chemostat vessels by syringe and cell pellets collected by microcentrifugation， immediately frozen in an ethanol-dry ice bath， and stored at -80Â°C.  Total RNA from each sample was compared against a reference RNA pool that was generated in bulk from a mid-log phase culture of MM901. Total RNA from samples and reference were directly labeled with Cy3 or Cy5， and were hybridized to the tiling array. After hybridization and washing according to array manufacturer's instructions， the arrays were scanned by Microarray Scanner (Agilent Technologies， Santa Clara， CA). Dye-flip experiments were done for each sample.,24089473,Genome Res
Drug combination sci-Plex Data,GSE206741,Homo sapiens,Recent advances in multiplexed single-cell transcriptomics experiments are facilitating the high-throughput study of drug and genetic perturbations. However， an exhaustive exploration of the combinatorial perturbation space is experimentally unfeasible， so computational methods are needed to predict， interpret， and prioritize perturbations. Here， we present the compositional perturbation autoencoder (CPA)， which combines the interpretability of linear models with the flexibility of deep-learning  approaches for single-cell response modeling. CPA encodes and learns transcriptional drug responses across different cell type， dose， and drug combinations. The model produces easy-to-interpret embeddings for drugs and cell types， which enables drug similarity analysis and predictions for unseen dosage and drug combinations. We show that CPA accurately models single-cell perturbations across compounds， doses， species， and time. We further demonstrate that CPA predicts combinatorial genetic interactions of several types， implying that it captures features that distinguish different interaction programs. Finally， we demonstrate that CPA can generate in-silico 5，329 missing genetic combination perturbations ($97.6% of all possibilities) with diverse genetic interactions. We envision our model will facilitate efficient experimental design and hypothesis generation by enabling in-silico response prediction at the single-cell level， and thus accelerate therapeutic applications using single-cell technologies.,Drug treatments were performed in triplicate including controls matching prior study (Srivatsan， 2020),37154091,Mol Syst Biol
Remapping the SRA: Drosophila melanogaster RNA-Seq data from the Sequence Read Archive,GSE117217,Drosophila melanogaster,The sequence read archive (SRA) contains over 52 terabases or 482 billion reads from Drosophila melanogaster (as of June 2018). These data are massively underused by the community and include 14，423 RNA-Seq samples， that is roughly 7 times the size of modENCODE. Currently the major challenge is finding high quality datasets that are suitable for inclusion in new studies. To help the community overcome this hurdle， we re-processed all D. melanogaster RNA-Seq SRA experiments (SRXs) using an identical workflow. This workflow uses a data driven approach to identify technical metadata (i.e.， strandedness and layout) for each sample in order to optimize mapping parameters. The workflow generates QC metrics， coverage tracks based on the dm6 assembly， and calculates gene level， junction level， and intergenic counts against FlyBase r6.11. Â This resource will allow any researcher to visualize browser tracks for any publicly available dataset， quickly identify high quality data sets for use in their own research， and download identically processed counts tables. There is a treasure trove of underused data sitting in the SRA and this work addresses the first challenge to make data integration a common laboratory practice.,Published Drosophila melanogaster RNA-seq data were re-mapped to dm6 and processed with an identical work flow.,37232385,Brief Bioinform
Ectopic CTCFL/BORISÂ expressionÂ in ovarian cancer precursor cells enhancesÂ cellular motility and invasion through GALNT14 and altersÂ CTCF chromatin occupancy,GSE131931,Homo sapiens,High-grade serous carcinoma (HGSC) is the most aggressive and predominant form of epithelial ovarian cancer and the leading cause of gynecological cancer death. We have previously shown that CTCFL (also known as BORIS， Brother of the Regulator of Imprinted Sites) is expressed in a large proportion of ovarian cancers， which is associated with global and promoter-specific DNA hypomethylation， advanced tumor stage， and poor prognosis. To explore its functional role in HGSC， we expressed BORIS in human fallopian tube secretory epithelial cells (FTSEC)， the presumptive cell of origin for HGSC. BORIS-expressing cells exhibited increased motility and invasion， and BORIS expression was associated with alterations in several cancer-associated gene expression networks， including fatty acid metabolism， TNF signaling， cell migration， and ECM-receptor interactions. Importantly， GALNT14， a glycosyltransferase gene previously implicated in cancer cell migration and invasion， was highly induced by BORIS， and GALNT14 knockdown significantly abrogated BORIS-induced cell motility and invasion.  In addition， in silico analyses provided evidence for BORIS and GALNT14 co-expression in several human cancers.  Finally， ChIP-seq demonstrated that expression of BORIS in FTSEC cells was associated with de novo and enhanced binding of CTCF at hundreds of loci， many of which correlated with activation of transcription at target genes， including GALNT14. Taken together， our data indicate that BORIS may promote cell motility and invasion in HGSC via upregulation of GALNT14， and suggests BORIS as a potential therapeutic target in this malignancy.,Genome-wide mapping of CTCF and BORIS occupancy in FT282 cells ectopically expressed either EV (Empty Vector) or BORIS.Expression profiling by high throughput sequencing (RNA-seq) of FT282 cells ectopically expressed either EV (Empty Vector) or BORIS.,31292201,Mol Cancer Res
MOWChIP-seq for low-input and high-throughput profiling of genome-wide histone modifications,GSE123606,Mus musculus,Epigenetic mechanisms such as histone modifications and DNA methylation form a critical layer of control that regulates gene activities. Histone modifications play critical roles in adaptive tuning of chromatin structures. Profiling various histone modifications at the genome scale using primary tissues from animal and human samples is an important step for functional studies of epigenomes and epigenomics-based precision medicine. Because the profile of a histone mark is highly specific to a particular cell type， isolation of a cell type of interest from primary tissues is often necessary to generate a homogeneous cell population and such operation tends to yield a low number of cells. In addition， high-throughput processing is desired in such effort due to the number of histone marks of interests and the potential volume of samples in a hospital setting. In this protocol， we describe detailed information on device fabrication， setup， and operation of microfluidic oscillatory washing-based chromatin immunoprecipitation followed by sequencing (MOWChIP-seq) for profiling histone modifications using as few as 30-100 cells per assay with a throughput as high as 8 assays in a run. The critical step of MOWChIP-seq operation involves flowing of chromatin fragments through a packed bed of antibody-coated beads followed by a vigorous microfluidic oscillatory washing. The ChIP process is semi-automated for reduced labor and improved reproducibility. We have used the protocol to study a number of histone modifications in various types of mouse and human tissue types ranging from isolated nuclei of brain cells to cell subtypes isolated from human breast tissues.,We examined genome-wide H3K9me3， H3K36me3， H3K79me2 profiles of nuclei isolated from mouse prefrontal cortex， 1000 nuclei per assay. The ChIP experiment was performed using half of 8-unit MOWChIP device， which performed 2 replicat experments for H3K9me3， H3K36me3 and H3K79me2 in every run under the same operating conditions.,31666743,Nat Protoc
HIV-1 integration in microglia (LM-PCR),GSE206255,Homo sapiens,We performed LM-PCR in an infected microglia cell line (C20) to map HIV-1 integration sites. Our aim was to compare the IS obtained through this method with ChIP-seq， ATAC-seq， and RNA-seq data obtained in the uninfected cells， allowing the assessment of integration preferences.,LM-PCR of the C20 cell line infected with HIV-1.,36790927,Cell Rep
Activity-by-Contact model of enhancer specificity from thousands of CRISPR perturbations,GSE118912,Homo sapiens;Mus musculus,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,31784727,Nat Genet
Genome-wide mapping of Collier in vivo binding sites highlights its hierarchical position in different transcription regulatory networks,GSE67805,Drosophila melanogaster,Collier， the single Drosophila COE (Collier/EBF/Olf-1) transcription factor， is required in several developmental processes， including head patterning and specification of muscle and neuron identity during embryogenesis. To identify direct Collier (Col) targets in different cell types， we used ChIP-seq to map Col binding sites throughout the genome， at mid-embryogenesis. In vivo Col binding peaks were associated to 415 potential direct target genes. Gene Ontology analysis revealed a strong enrichment in proteins with DNA binding and/or transcription-regulatory properties. Characterization of a selection of candidates， using transgenic CRM-reporter assays， identified direct Col targets in dorso-lateral somatic muscles and specific neuron types in the central nervous system. These data brought new evidence that Col direct control of the expression of the transcription regulators apterous  and eyes-absent (eya) is critical to specifying neuronal identities. They also showed that cross-regulation between col and eya in muscle progenitor cells is required for specification of muscle identity， revealing a new parallel between the myogenic regulatory networks operating in Drosophila and vertebrates. Col regulation of eya， both in specific muscle and neuronal lineages， may illustrate one mechanism behind the evolutionary diversification of Col biological roles.,Fixed nuclear extract of stage 13-14 whole drosophila embryo were submit to Chromatine Immunoprecipitation with a mix of three COL monoclonal antibodies. As control a non relevent antibody (anti-HA) was used. Precipitated DNA was submit to Illumina high-throughput sequencing.,26204530,PLoS One
Coupling of microRNA-directed phasiRNA generation with alternative splicing in small RNA-mediated gene silencing,GSE98698,Litchi chinensis,Purpose:We aimed to characterize genome-widely the miRNA population  and phasiRNA-generating genes/loci in litchi (Litchi chinensis).Multiple high throughput sequencing strategies， including sRNA sequencing， parallel analysis of RNA ends (PARE) sequencing， and strand-specific RNA-seq， were applied in combination with thorough bioinformatics analyses using a variety of computational methods.,6 tissues sRNA libraries were builtin lithi， including: fruit pedicel， fruitlet， leaf， root， stem shoot and flower; 4 parallel analysis of RNA ends (PARE) libraries were built， including mixed (equal amounts of RNA from all tissues)， pedicel， flower and fruitlet;Two strand-specific RNA-seq (ssRNA-seq) libraries were generated for the flower tissues,29218722,New Phytol
Coupling of microRNA-directed phasiRNA generation with alternative splicing in small RNA-mediated gene silencing,GSE98698,Litchi chinensis,Purpose:We aimed to characterize genome-widely the miRNA population  and phasiRNA-generating genes/loci in litchi (Litchi chinensis).Multiple high throughput sequencing strategies， including sRNA sequencing， parallel analysis of RNA ends (PARE) sequencing， and strand-specific RNA-seq， were applied in combination with thorough bioinformatics analyses using a variety of computational methods.,6 tissues sRNA libraries were builtin lithi， including: fruit pedicel， fruitlet， leaf， root， stem shoot and flower; 4 parallel analysis of RNA ends (PARE) libraries were built， including mixed (equal amounts of RNA from all tissues)， pedicel， flower and fruitlet;Two strand-specific RNA-seq (ssRNA-seq) libraries were generated for the flower tissues,29218722,Plant Biotechnol J
Coupling of microRNA-directed phasiRNA generation with alternative splicing in small RNA-mediated gene silencing,GSE98698,Litchi chinensis,Purpose:We aimed to characterize genome-widely the miRNA population  and phasiRNA-generating genes/loci in litchi (Litchi chinensis).Multiple high throughput sequencing strategies， including sRNA sequencing， parallel analysis of RNA ends (PARE) sequencing， and strand-specific RNA-seq， were applied in combination with thorough bioinformatics analyses using a variety of computational methods.,6 tissues sRNA libraries were builtin lithi， including: fruit pedicel， fruitlet， leaf， root， stem shoot and flower; 4 parallel analysis of RNA ends (PARE) libraries were built， including mixed (equal amounts of RNA from all tissues)， pedicel， flower and fruitlet;Two strand-specific RNA-seq (ssRNA-seq) libraries were generated for the flower tissues,37966709,New Phytol
Coupling of microRNA-directed phasiRNA generation with alternative splicing in small RNA-mediated gene silencing,GSE98698,Litchi chinensis,Purpose:We aimed to characterize genome-widely the miRNA population  and phasiRNA-generating genes/loci in litchi (Litchi chinensis).Multiple high throughput sequencing strategies， including sRNA sequencing， parallel analysis of RNA ends (PARE) sequencing， and strand-specific RNA-seq， were applied in combination with thorough bioinformatics analyses using a variety of computational methods.,6 tissues sRNA libraries were builtin lithi， including: fruit pedicel， fruitlet， leaf， root， stem shoot and flower; 4 parallel analysis of RNA ends (PARE) libraries were built， including mixed (equal amounts of RNA from all tissues)， pedicel， flower and fruitlet;Two strand-specific RNA-seq (ssRNA-seq) libraries were generated for the flower tissues,37966709,Plant Biotechnol J
Designing a single cell RNA sequencing benchmark dataset to compare protocols and analysis methods (9 cell mixture dataset).,GSE117450,Homo sapiens,Single cell RNA sequencing (scRNA-seq) technology has undergone rapid development in recent years and brings new challenges in data processing and analysis. This has led to an explosion of tailored analysis methods for scRNA-seq to address various biological questions. However， the current lack of gold-standard benchmarking datasets makes it difficult for researchers to evaluate the performance of the many methods available in a systematic manner. Here， we designed and generated a cross-platform benchmark dataset that has in-built truth in various forms and varying levels of biological noise. We used this dataset to compare different protocols and data analysis methods.  We found that different protocols have different data quality and ERCC spike-in works independently to endogenous RNA. We found significant differences in the results from the methods compared and we associated the results with data characteristics to identify methods that perform well in different situations. Our dataset and analysis provide a valuable resource for algorithm selection in different biological settings.,our experiment utilized the 3 human lung adenocarcinoma cell lines H2228， H1975 and HCC827. The experiment included mixtures of RNA and single cells from these cell lines. For the single cell designs， the three cell lines were mixed equally and processed by 10X chromium， Drop-seq and CEL-seq2， referred to as sc_10X， sc_Drop-seq and sc_CEL-seq2 respectively in analysis that follows. For the mixture designs， we used plate-based protocols to mix and dilute samples in 2 different ways. 9 cell mixtures from the 3 cell lines were sorted in different combinations in the cell mixture experiment and data were generated by CEL-seq2， the material after pooling from 384 wells were subsampled in either 1/9 or 1/3 to simulate cells of different sizes， with different PCR product clean up ratios ranging from 0.7 to 0.9， referred to as cellmix1 to cellmix4. For the cell mixture experiment， we also sorted wells with 10 times more cells (90 cells) to provide a pseudo bulk reference for each mixture (referred to as cellmix5).  Distinct RNA mixtures which were diluted down to create single cell equivalents (ranging from 3.75， 7.5， 15 to 30 pg per well) were generated using CEL-seq2 and SORT-seq (referred to as RNAmix_CEL-seq2 and RNAmix_Sort-seq. This is the 9 cell mixture dataset.,30096152,PLoS Comput Biol
Designing a single cell RNA sequencing benchmark dataset to compare protocols and analysis methods (9 cell mixture dataset).,GSE117450,Homo sapiens,Single cell RNA sequencing (scRNA-seq) technology has undergone rapid development in recent years and brings new challenges in data processing and analysis. This has led to an explosion of tailored analysis methods for scRNA-seq to address various biological questions. However， the current lack of gold-standard benchmarking datasets makes it difficult for researchers to evaluate the performance of the many methods available in a systematic manner. Here， we designed and generated a cross-platform benchmark dataset that has in-built truth in various forms and varying levels of biological noise. We used this dataset to compare different protocols and data analysis methods.  We found that different protocols have different data quality and ERCC spike-in works independently to endogenous RNA. We found significant differences in the results from the methods compared and we associated the results with data characteristics to identify methods that perform well in different situations. Our dataset and analysis provide a valuable resource for algorithm selection in different biological settings.,our experiment utilized the 3 human lung adenocarcinoma cell lines H2228， H1975 and HCC827. The experiment included mixtures of RNA and single cells from these cell lines. For the single cell designs， the three cell lines were mixed equally and processed by 10X chromium， Drop-seq and CEL-seq2， referred to as sc_10X， sc_Drop-seq and sc_CEL-seq2 respectively in analysis that follows. For the mixture designs， we used plate-based protocols to mix and dilute samples in 2 different ways. 9 cell mixtures from the 3 cell lines were sorted in different combinations in the cell mixture experiment and data were generated by CEL-seq2， the material after pooling from 384 wells were subsampled in either 1/9 or 1/3 to simulate cells of different sizes， with different PCR product clean up ratios ranging from 0.7 to 0.9， referred to as cellmix1 to cellmix4. For the cell mixture experiment， we also sorted wells with 10 times more cells (90 cells) to provide a pseudo bulk reference for each mixture (referred to as cellmix5).  Distinct RNA mixtures which were diluted down to create single cell equivalents (ranging from 3.75， 7.5， 15 to 30 pg per well) were generated using CEL-seq2 and SORT-seq (referred to as RNAmix_CEL-seq2 and RNAmix_Sort-seq. This is the 9 cell mixture dataset.,30096152,Nat Methods
Designing a single cell RNA sequencing benchmark dataset to compare protocols and analysis methods (9 cell mixture dataset).,GSE117450,Homo sapiens,Single cell RNA sequencing (scRNA-seq) technology has undergone rapid development in recent years and brings new challenges in data processing and analysis. This has led to an explosion of tailored analysis methods for scRNA-seq to address various biological questions. However， the current lack of gold-standard benchmarking datasets makes it difficult for researchers to evaluate the performance of the many methods available in a systematic manner. Here， we designed and generated a cross-platform benchmark dataset that has in-built truth in various forms and varying levels of biological noise. We used this dataset to compare different protocols and data analysis methods.  We found that different protocols have different data quality and ERCC spike-in works independently to endogenous RNA. We found significant differences in the results from the methods compared and we associated the results with data characteristics to identify methods that perform well in different situations. Our dataset and analysis provide a valuable resource for algorithm selection in different biological settings.,our experiment utilized the 3 human lung adenocarcinoma cell lines H2228， H1975 and HCC827. The experiment included mixtures of RNA and single cells from these cell lines. For the single cell designs， the three cell lines were mixed equally and processed by 10X chromium， Drop-seq and CEL-seq2， referred to as sc_10X， sc_Drop-seq and sc_CEL-seq2 respectively in analysis that follows. For the mixture designs， we used plate-based protocols to mix and dilute samples in 2 different ways. 9 cell mixtures from the 3 cell lines were sorted in different combinations in the cell mixture experiment and data were generated by CEL-seq2， the material after pooling from 384 wells were subsampled in either 1/9 or 1/3 to simulate cells of different sizes， with different PCR product clean up ratios ranging from 0.7 to 0.9， referred to as cellmix1 to cellmix4. For the cell mixture experiment， we also sorted wells with 10 times more cells (90 cells) to provide a pseudo bulk reference for each mixture (referred to as cellmix5).  Distinct RNA mixtures which were diluted down to create single cell equivalents (ranging from 3.75， 7.5， 15 to 30 pg per well) were generated using CEL-seq2 and SORT-seq (referred to as RNAmix_CEL-seq2 and RNAmix_Sort-seq. This is the 9 cell mixture dataset.,31133762,PLoS Comput Biol
Designing a single cell RNA sequencing benchmark dataset to compare protocols and analysis methods (9 cell mixture dataset).,GSE117450,Homo sapiens,Single cell RNA sequencing (scRNA-seq) technology has undergone rapid development in recent years and brings new challenges in data processing and analysis. This has led to an explosion of tailored analysis methods for scRNA-seq to address various biological questions. However， the current lack of gold-standard benchmarking datasets makes it difficult for researchers to evaluate the performance of the many methods available in a systematic manner. Here， we designed and generated a cross-platform benchmark dataset that has in-built truth in various forms and varying levels of biological noise. We used this dataset to compare different protocols and data analysis methods.  We found that different protocols have different data quality and ERCC spike-in works independently to endogenous RNA. We found significant differences in the results from the methods compared and we associated the results with data characteristics to identify methods that perform well in different situations. Our dataset and analysis provide a valuable resource for algorithm selection in different biological settings.,our experiment utilized the 3 human lung adenocarcinoma cell lines H2228， H1975 and HCC827. The experiment included mixtures of RNA and single cells from these cell lines. For the single cell designs， the three cell lines were mixed equally and processed by 10X chromium， Drop-seq and CEL-seq2， referred to as sc_10X， sc_Drop-seq and sc_CEL-seq2 respectively in analysis that follows. For the mixture designs， we used plate-based protocols to mix and dilute samples in 2 different ways. 9 cell mixtures from the 3 cell lines were sorted in different combinations in the cell mixture experiment and data were generated by CEL-seq2， the material after pooling from 384 wells were subsampled in either 1/9 or 1/3 to simulate cells of different sizes， with different PCR product clean up ratios ranging from 0.7 to 0.9， referred to as cellmix1 to cellmix4. For the cell mixture experiment， we also sorted wells with 10 times more cells (90 cells) to provide a pseudo bulk reference for each mixture (referred to as cellmix5).  Distinct RNA mixtures which were diluted down to create single cell equivalents (ranging from 3.75， 7.5， 15 to 30 pg per well) were generated using CEL-seq2 and SORT-seq (referred to as RNAmix_CEL-seq2 and RNAmix_Sort-seq. This is the 9 cell mixture dataset.,31133762,Nat Methods
Glioblastoma epigenome profiling identifies SOX10 as a master regulator of molecular tumour subtype,GSE121723,Homo sapiens;Mus musculus,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,33339831,Nat Commun
Dynamic profiling of the protein life cycle in response to pathogens (RNA-seq),GSE59784,Mus musculus,Protein expression is regulated by production and degradation of mRNAs and proteins， but their specific relationships remain unknown. We combine measurements of protein production and degradation and mRNA dynamics to build a quantitative genomic model of the differential regulation of gene expression in LPS stimulated mouse dendritic cells. Changes in mRNA abundance play a dominant role in determining most dynamic fold changes in protein levels. Conversely， the preexisting proteome of proteins performing basic cellular functions is remodeled primarily through changes in protein production or degradation， accounting for over half of the absolute change in protein molecules in the cell. Thus， the proteome is regulated by transcriptional induction of novel cellular functions and remodeling of preexisting functions through the protein life cycle.,Mouse primary dendritic cells were treated with LPS or mock stimulus and profiled over a 12-hour time course. Cells were grown in M-labeled SILAC media， which was replaced with H-labeled SILAC media at time 0. Aliquots were taken at 0， 0.5， 1， 2， 3， 4， 5， 6， 9， and 12 hours post-stimulation and added to equal volumes of a master mix of unlabeled (L) cells for the purpose of normalization. RNA-Seq was performed at 0， 1， 2， 4， 6， 9， and 12 hours post-stimulation.,25745177,Science
The small and large intestine contain transcriptionally related mesenchymal stromal cell subsets that derive from embryonic Gli1+ mesothelial cells [adult bulk RNA-Seq],GSE182175,Mus musculus,Sorted populations of stroma cells from the small and large intestinal lamina propria. Each population has 3 replicates per tissue and were individually subjected to RNA-seq.,Gating strategy of each MSC population is described in the paper. For small intestine; pericytes， SMCs， subepithelial FBs and two interstitial FB subsets (one including a mix of interstitial and adventitial). For LI; pericytes， subepithelial FBs， adventitial FBs and two interstitial FB subsets.,37085516,Nat Commun
Heat Shock Factor 1 drives intergenic association of its target gene loci during heat shock,GSE122666,Saccharomyces cerevisiae,Transcriptional induction of Heat Shock Protein (HSP) genes in yeast is accompanied by dynamic changes in their 3D structure and spatial organization， yet the molecular basis for these phenomena remains unknown. Using chromosome conformation capture and single cell imaging， we show that genes transcriptionally activated by Heat Shock Factor 1 (Hsf1) specifically interact across chromosomes and coalesce into diffraction-limited intranuclear foci. Genes activated by the alternative stress regulators Msn2 and Msn4， in contrast， do not interact among themselves nor with Hsf1 targets.Likewise， constitutively expressed genes， even those interposed between HSP genes， show no detectable interaction. Hsf1 forms discrete subnuclear puncta when stressactivated， and these puncta dissolve in concert with transcriptional attenuation， paralleling the kinetics of HSP gene coalescence and dissolution. Nuclear Hsf1 and RNA Pol II are both necessary for intergenic HSP gene interactions， while DNA-bound Hsf1 is necessary and sufficient to drive coalescence of a heterologous gene. Our findings demonstrate that Hsf1 can dynamically restructure the yeast genome.,4 yeast RNA seq samples;We performed RNA seq coupled Hsf1-AA at 30ÂºC and following 10' heat shock at 39ÂºC.  1 ÂµM rapamycin was added for 45 minutes to anchor away Hsf1.,30605674,Cell Rep
Systems-level analyses reveal a convergent pathway for progression of diffuse astrocytoma and potential role for resveratrol in delaying high-grade transformation,GSE117620,Homo sapiens,We assembled genome-wide gene regulatory networks (âmodulesâ) that are differentially co-expressed between grade II and grade III IDH1-mutated astrocytomas in order to identify drivers of astrocytoma progression. We prioritized module M2 as a candidate module regulating glioma transformation on the basis that the module was enriched for cancer predisposition genes and had a pattern of expression in human glioma samples associated with both clinical progression and genomic aberrations in known cancer genes. M2 was functionally enriched for genes related to cell cycle regulation， and a genome-wide reverse engineering approach predicted the known cell cycle regulators FoxM1， B-Myb， and E2F2 as key transcriptional regulators of this module. Using separate drug-induced transcriptional perturbation data， we predicted that the naturally occurring polyphenol resveratrol down-regulates multiple nodes of M2. Transcriptional modulation of M2 by resveratrol and its predicted growth inhibitory effects was experimentally confirmed in vitro using low-passage primary human astrocytoma cells， including at nanomolar concentrations of resveratrol achievable in human cerebral spinal fluid from oral dosing.,Primary anaplastic astrocytoma cells (TB98) were treated with 20uM， 10nM and 2nM resveratrol for 24h,31420939,Ann Clin Transl Neurol
